"TIME","GEO","INDIC_DE","Value","FlagandFootnotes"
"2011","European Union - 28 countries (2013-2020)","Average population - total","503,519,196","b"
"2011","European Union - 28 countries (2013-2020)","Average population - females","258,046,643","b"
"2011","European Union - 28 countries (2013-2020)","Average population - males","245,469,025","b"
"2011","Belgium","Average population - total","11,038,264","b"
"2011","Belgium","Average population - females","5,617,261","b"
"2011","Belgium","Average population - males","5,421,003","b"
"2011","Bulgaria","Average population - total","7,348,328",""
"2011","Bulgaria","Average population - females","3,770,481",""
"2011","Bulgaria","Average population - males","3,577,847",""
"2011","Czechia","Average population - total","10,496,088",""
"2011","Czechia","Average population - females","5,343,368",""
"2011","Czechia","Average population - males","5,152,721",""
"2011","Denmark","Average population - total","5,570,572",""
"2011","Denmark","Average population - females","2,808,893",""
"2011","Denmark","Average population - males","2,761,679",""
"2011","Germany (until 1990 former territory of the FRG)","Average population - total","80,274,983","b"
"2011","Germany (until 1990 former territory of the FRG)","Average population - females","41,097,709","b"
"2011","Germany (until 1990 former territory of the FRG)","Average population - males","39,177,274","b"
"2011","Germany including former GDR","Average population - total","80,274,983","b"
"2011","Germany including former GDR","Average population - females","41,097,709","b"
"2011","Germany including former GDR","Average population - males","39,177,274","b"
"2011","Estonia","Average population - total","1,327,439",""
"2011","Estonia","Average population - females","708,520",""
"2011","Estonia","Average population - males","618,919",""
"2011","Ireland","Average population - total","4,580,084",""
"2011","Ireland","Average population - females","2,308,372",""
"2011","Ireland","Average population - males","2,271,713",""
"2011","Greece","Average population - total","11,104,899",""
"2011","Greece","Average population - females","5,666,235",""
"2011","Greece","Average population - males","5,438,664",""
"2011","Spain","Average population - total","46,742,697",""
"2011","Spain","Average population - females","23,668,451",""
"2011","Spain","Average population - males","23,074,246",""
"2011","France","Average population - total","65,127,852",""
"2011","France","Average population - females","33,593,710",""
"2011","France","Average population - males","31,534,143",""
"2011","France (metropolitan)","Average population - total","63,223,158",""
"2011","France (metropolitan)","Average population - females","32,596,759",""
"2011","France (metropolitan)","Average population - males","30,626,399",""
"2011","Croatia","Average population - total","4,282,921",""
"2011","Croatia","Average population - females","2,217,390",""
"2011","Croatia","Average population - males","2,065,531",""
"2011","Italy","Average population - total","59,379,449",""
"2011","Italy","Average population - females","30,658,521",""
"2011","Italy","Average population - males","28,720,928",""
"2011","Cyprus","Average population - total","850,881",""
"2011","Cyprus","Average population - females","437,006",""
"2011","Cyprus","Average population - males","413,876",""
"2011","Latvia","Average population - total","2,059,709",""
"2011","Latvia","Average population - females","1,118,334",""
"2011","Latvia","Average population - males","941,376",""
"2011","Lithuania","Average population - total","3,028,115",""
"2011","Lithuania","Average population - females","1,632,748",""
"2011","Lithuania","Average population - males","1,395,367",""
"2011","Luxembourg","Average population - total","518,347",""
"2011","Luxembourg","Average population - females","260,127",""
"2011","Luxembourg","Average population - males","258,220",""
"2011","Hungary","Average population - total","9,971,727",""
"2011","Hungary","Average population - females","5,233,914",""
"2011","Hungary","Average population - males","4,734,284",""
"2011","Malta","Average population - total","416,268",""
"2011","Malta","Average population - females","209,218",""
"2011","Malta","Average population - males","207,050",""
"2011","Netherlands","Average population - total","16,693,074",""
"2011","Netherlands","Average population - females","8,429,897",""
"2011","Netherlands","Average population - males","8,263,177",""
"2011","Austria","Average population - total","8,391,643",""
"2011","Austria","Average population - females","4,303,135",""
"2011","Austria","Average population - males","4,088,508",""
"2011","Poland","Average population - total","38,063,255",""
"2011","Poland","Average population - females","19,634,757",""
"2011","Poland","Average population - males","18,428,498",""
"2011","Portugal","Average population - total","10,557,560",""
"2011","Portugal","Average population - females","5,515,570",""
"2011","Portugal","Average population - males","5,041,990",""
"2011","Romania","Average population - total","20,147,528",""
"2011","Romania","Average population - females","10,342,500",""
"2011","Romania","Average population - males","9,805,028",""
"2011","Slovenia","Average population - total","2,052,843",""
"2011","Slovenia","Average population - females","1,037,196",""
"2011","Slovenia","Average population - males","1,015,647",""
"2011","Slovakia","Average population - total","5,398,384",""
"2011","Slovakia","Average population - females","2,769,922",""
"2011","Slovakia","Average population - males","2,628,463",""
"2011","Finland","Average population - total","5,388,272",""
"2011","Finland","Average population - females","2,742,797",""
"2011","Finland","Average population - males","2,645,475",""
"2011","Sweden","Average population - total","9,449,213",""
"2011","Sweden","Average population - females","4,740,674",""
"2011","Sweden","Average population - males","4,708,539",""
"2011","European Economic Area (EU28 - 2013-2020 and IS, LI, NO)","Average population - total","508,827,609","b"
"2011","European Economic Area (EU28 - 2013-2020 and IS, LI, NO)","Average population - females","260,697,047","b"
"2011","European Economic Area (EU28 - 2013-2020 and IS, LI, NO)","Average population - males","248,127,034","b"
"2011","European Economic Area (EU27 - 2007-2013 and IS, LI, NO)","Average population - total","504,544,689","b"
"2011","European Economic Area (EU27 - 2007-2013 and IS, LI, NO)","Average population - females","258,479,657","b"
"2011","European Economic Area (EU27 - 2007-2013 and IS, LI, NO)","Average population - males","246,061,503","b"
"2011","European Free Trade Association","Average population - total","13,220,811","b"
"2011","European Free Trade Association","Average population - females","6,662,963","b"
"2011","European Free Trade Association","Average population - males","6,557,849","b"
"2011","Iceland","Average population - total","319,014",""
"2011","Iceland","Average population - females","158,829",""
"2011","Iceland","Average population - males","160,185",""
"2011","Liechtenstein","Average population - total","36,312",""
"2011","Liechtenstein","Average population - females","18,348",""
"2011","Liechtenstein","Average population - males","17,964",""
"2011","Norway","Average population - total","4,953,088",""
"2011","Norway","Average population - females","2,473,228",""
"2011","Norway","Average population - males","2,479,860",""
"2011","Switzerland","Average population - total","7,912,398","b"
"2011","Switzerland","Average population - females","4,012,559","b"
"2011","Switzerland","Average population - males","3,899,840","b"
"2011","United Kingdom","Average population - total","63,258,810",""
"2011","United Kingdom","Average population - females","32,179,945",""
"2011","United Kingdom","Average population - males","31,078,866",""
"2011","Montenegro","Average population - total","620,079",""
"2011","Montenegro","Average population - females","313,837",""
"2011","Montenegro","Average population - males","306,242",""
"2011","North Macedonia","Average population - total","2,058,539",""
"2011","North Macedonia","Average population - females","1,027,136",""
"2011","North Macedonia","Average population - males","1,031,403",""
"2011","Albania","Average population - total","2,905,185",""
"2011","Albania","Average population - females","1,447,963",""
"2011","Albania","Average population - males","1,457,222",""
"2011","Serbia","Average population - total","7,234,099","b"
"2011","Serbia","Average population - females","3,711,427","b"
"2011","Serbia","Average population - males","3,522,673","b"
"2011","Turkey","Average population - total","74,223,629",""
"2011","Turkey","Average population - females","36,935,561",""
"2011","Turkey","Average population - males","37,288,068",""
"2011","Andorra","Average population - total","78,115",""
"2011","Andorra","Average population - females","38,252",""
"2011","Andorra","Average population - males","39,863",""
"2011","Belarus","Average population - total","9,473,172",""
"2011","Belarus","Average population - females","5,069,946",""
"2011","Belarus","Average population - males","4,403,226",""
"2011","Bosnia and Herzegovina","Average population - total","3,841,224",""
"2011","Bosnia and Herzegovina","Average population - females","1,964,678",""
"2011","Bosnia and Herzegovina","Average population - males","1,876,546",""
"2011","Kosovo (under United Nations Security Council Resolution 1244/99)","Average population - total","1,787,101","b"
"2011","Kosovo (under United Nations Security Council Resolution 1244/99)","Average population - females","886,899","b"
"2011","Kosovo (under United Nations Security Council Resolution 1244/99)","Average population - males","900,202","b"
"2011","Moldova","Average population - total","3,559,986",""
"2011","Moldova","Average population - females","1,848,070",""
"2011","Moldova","Average population - males","1,711,916",""
"2011","Monaco","Average population - total",":",""
"2011","Monaco","Average population - females",":",""
"2011","Monaco","Average population - males",":",""
"2011","Russia","Average population - total","142,956,460",""
"2011","Russia","Average population - females",":",""
"2011","Russia","Average population - males",":",""
"2011","San Marino","Average population - total","32,620",""
"2011","San Marino","Average population - females","16,693",""
"2011","San Marino","Average population - males","15,927",""
"2011","Ukraine","Average population - total","45,525,731",""
"2011","Ukraine","Average population - females","24,521,067",""
"2011","Ukraine","Average population - males","21,004,664",""
"2011","Armenia","Average population - total","3,268,468",""
"2011","Armenia","Average population - females","1,681,533",""
"2011","Armenia","Average population - males","1,586,935",""
"2011","Azerbaijan","Average population - total","9,173,082",""
"2011","Azerbaijan","Average population - females","4,622,812",""
"2011","Azerbaijan","Average population - males","4,550,270",""
"2011","Georgia","Average population - total","4,483,434",""
"2011","Georgia","Average population - females","2,347,898",""
"2011","Georgia","Average population - males","2,135,536",""
"2012","European Union - 28 countries (2013-2020)","Average population - total","504,605,401","b"
"2012","European Union - 28 countries (2013-2020)","Average population - females","258,538,191","b"
"2012","European Union - 28 countries (2013-2020)","Average population - males","246,067,211","b"
"2012","Belgium","Average population - total","11,106,932","b"
"2012","Belgium","Average population - females","5,650,360","b"
"2012","Belgium","Average population - males","5,456,572","b"
"2012","Bulgaria","Average population - total","7,305,888",""
"2012","Bulgaria","Average population - females","3,749,968",""
"2012","Bulgaria","Average population - males","3,555,920",""
"2012","Czechia","Average population - total","10,510,785",""
"2012","Czechia","Average population - females","5,349,506",""
"2012","Czechia","Average population - males","5,161,280",""
"2012","Denmark","Average population - total","5,591,572",""
"2012","Denmark","Average population - females","2,818,758",""
"2012","Denmark","Average population - males","2,772,814",""
"2012","Germany (until 1990 former territory of the FRG)","Average population - total","80,425,823",""
"2012","Germany (until 1990 former territory of the FRG)","Average population - females","41,120,362",""
"2012","Germany (until 1990 former territory of the FRG)","Average population - males","39,305,462",""
"2012","Germany including former GDR","Average population - total","80,425,823",""
"2012","Germany including former GDR","Average population - females","41,120,362",""
"2012","Germany including former GDR","Average population - males","39,305,462",""
"2012","Estonia","Average population - total","1,322,696",""
"2012","Estonia","Average population - females","705,543",""
"2012","Estonia","Average population - males","617,153",""
"2012","Ireland","Average population - total","4,599,533",""
"2012","Ireland","Average population - females","2,320,803",""
"2012","Ireland","Average population - males","2,278,731",""
"2012","Greece","Average population - total","11,045,011",""
"2012","Greece","Average population - females","5,649,943",""
"2012","Greece","Average population - males","5,395,068",""
"2012","Spain","Average population - total","46,773,055",""
"2012","Spain","Average population - females","23,714,669",""
"2012","Spain","Average population - males","23,058,386",""
"2012","France","Average population - total","65,438,667",""
"2012","France","Average population - females","33,749,643",""
"2012","France","Average population - males","31,689,024",""
"2012","France (metropolitan)","Average population - total","63,536,918",""
"2012","France (metropolitan)","Average population - females","32,754,329",""
"2012","France (metropolitan)","Average population - males","30,782,590",""
"2012","Croatia","Average population - total","4,269,062",""
"2012","Croatia","Average population - females","2,209,666",""
"2012","Croatia","Average population - males","2,059,396",""
"2012","Italy","Average population - total","59,539,717",""
"2012","Italy","Average population - females","30,731,619",""
"2012","Italy","Average population - males","28,808,098",""
"2012","Cyprus","Average population - total","863,945",""
"2012","Cyprus","Average population - females","443,930",""
"2012","Cyprus","Average population - males","420,015",""
"2012","Latvia","Average population - total","2,034,319",""
"2012","Latvia","Average population - females","1,103,623",""
"2012","Latvia","Average population - males","930,696",""
"2012","Lithuania","Average population - total","2,987,773",""
"2012","Lithuania","Average population - females","1,611,572",""
"2012","Lithuania","Average population - males","1,376,201",""
"2012","Luxembourg","Average population - total","530,946","b"
"2012","Luxembourg","Average population - females","265,830","b"
"2012","Luxembourg","Average population - males","265,116","b"
"2012","Hungary","Average population - total","9,920,362","b"
"2012","Hungary","Average population - females","5,200,052","b"
"2012","Hungary","Average population - males","4,720,310","b"
"2012","Malta","Average population - total","420,028",""
"2012","Malta","Average population - females","210,989",""
"2012","Malta","Average population - males","209,039",""
