"TIME","GEO","UNIT","ICHA11_HP","Value","Flag and Footnotes"
"2011","European Union - 28 countries (2013-2020)","Million euro","All providers of health care",":",""
"2011","European Union - 28 countries (2013-2020)","Million euro","General hospitals",":",""
"2011","European Union - 28 countries (2013-2020)","Million euro","Mental health hospitals",":",""
"2011","European Union - 28 countries (2013-2020)","Million euro","Dental practice",":",""
"2011","European Union - 28 countries (2013-2020)","Million euro","Pharmacies",":",""
"2011","Belgium","Million euro","All providers of health care","39,070.89",""
"2011","Belgium","Million euro","General hospitals","12,507.42",""
"2011","Belgium","Million euro","Mental health hospitals","1,612.95",""
"2011","Belgium","Million euro","Dental practice","1,404.92",""
"2011","Belgium","Million euro","Pharmacies","5,008.62",""
"2011","Bulgaria","Million euro","All providers of health care","2,946.38",""
"2011","Bulgaria","Million euro","General hospitals",":",""
"2011","Bulgaria","Million euro","Mental health hospitals",":",""
"2011","Bulgaria","Million euro","Dental practice",":",""
"2011","Bulgaria","Million euro","Pharmacies",":",""
"2011","Czechia","Million euro","All providers of health care",":",""
"2011","Czechia","Million euro","General hospitals",":",""
"2011","Czechia","Million euro","Mental health hospitals",":",""
"2011","Czechia","Million euro","Dental practice",":",""
"2011","Czechia","Million euro","Pharmacies",":",""
"2011","Denmark","Million euro","All providers of health care","25,167.02",""
"2011","Denmark","Million euro","General hospitals","10,110.91",""
"2011","Denmark","Million euro","Mental health hospitals","981.36",""
"2011","Denmark","Million euro","Dental practice","1,486.41",""
"2011","Denmark","Million euro","Pharmacies","1,673.29",""
"2011","Germany (until 1990 former territory of the FRG)","Million euro","All providers of health care","290,317.00",""
"2011","Germany (until 1990 former territory of the FRG)","Million euro","General hospitals","76,452.00",""
"2011","Germany (until 1990 former territory of the FRG)","Million euro","Mental health hospitals",":",""
"2011","Germany (until 1990 former territory of the FRG)","Million euro","Dental practice","22,971.00",""
"2011","Germany (until 1990 former territory of the FRG)","Million euro","Pharmacies","39,958.00",""
"2011","Estonia","Million euro","All providers of health care","970.49",""
"2011","Estonia","Million euro","General hospitals","433.26",""
"2011","Estonia","Million euro","Mental health hospitals","2.86",""
"2011","Estonia","Million euro","Dental practice","64.76",""
"2011","Estonia","Million euro","Pharmacies","191.65",""
"2011","Ireland","Million euro","All providers of health care","18,252.25",""
"2011","Ireland","Million euro","General hospitals","5,542.20",""
"2011","Ireland","Million euro","Mental health hospitals","263.21",""
"2011","Ireland","Million euro","Dental practice","527.93",""
"2011","Ireland","Million euro","Pharmacies","2,544.62",""
"2011","Greece","Million euro","All providers of health care","18,690.74",""
"2011","Greece","Million euro","General hospitals","6,224.56",""
"2011","Greece","Million euro","Mental health hospitals","342.76",""
"2011","Greece","Million euro","Dental practice","1,493.32",""
"2011","Greece","Million euro","Pharmacies","5,751.47",""
"2011","Spain","Million euro","All providers of health care","97,523.28",""
"2011","Spain","Million euro","General hospitals","38,210.96",""
"2011","Spain","Million euro","Mental health hospitals","774.08",""
"2011","Spain","Million euro","Dental practice","4,898.94",""
"2011","Spain","Million euro","Pharmacies","15,923.65",""
"2011","France","Million euro","All providers of health care","230,228.08",""
"2011","France","Million euro","General hospitals","77,450.19",""
"2011","France","Million euro","Mental health hospitals","9,411.16",""
"2011","France","Million euro","Dental practice","9,587.96",""
"2011","France","Million euro","Pharmacies","38,379.36",""
"2011","Croatia","Million euro","All providers of health care",":",""
"2011","Croatia","Million euro","General hospitals",":",""
"2011","Croatia","Million euro","Mental health hospitals",":",""
"2011","Croatia","Million euro","Dental practice",":",""
"2011","Croatia","Million euro","Pharmacies",":",""
"2011","Italy","Million euro","All providers of health care",":",""
"2011","Italy","Million euro","General hospitals",":",""
"2011","Italy","Million euro","Mental health hospitals",":",""
"2011","Italy","Million euro","Dental practice",":",""
"2011","Italy","Million euro","Pharmacies",":",""
"2011","Cyprus","Million euro","All providers of health care","1,277.15",""
"2011","Cyprus","Million euro","General hospitals","481.84",""
"2011","Cyprus","Million euro","Mental health hospitals","15.23",""
"2011","Cyprus","Million euro","Dental practice","67.84",""
"2011","Cyprus","Million euro","Pharmacies","156.57",""
"2011","Latvia","Million euro","All providers of health care",":",""
"2011","Latvia","Million euro","General hospitals",":",""
"2011","Latvia","Million euro","Mental health hospitals",":",""
"2011","Latvia","Million euro","Dental practice",":",""
"2011","Latvia","Million euro","Pharmacies",":",""
"2011","Lithuania","Million euro","All providers of health care","2,031.79",""
"2011","Lithuania","Million euro","General hospitals","641.92",""
"2011","Lithuania","Million euro","Mental health hospitals","25.03",""
"2011","Lithuania","Million euro","Dental practice","65.72",""
"2011","Lithuania","Million euro","Pharmacies","527.90",""
"2011","Luxembourg","Million euro","All providers of health care","2,638.25",""
"2011","Luxembourg","Million euro","General hospitals","741.17",""
"2011","Luxembourg","Million euro","Mental health hospitals","52.11",""
"2011","Luxembourg","Million euro","Dental practice","143.83",""
"2011","Luxembourg","Million euro","Pharmacies","213.41",""
"2011","Hungary","Million euro","All providers of health care","7,642.30",""
"2011","Hungary","Million euro","General hospitals","2,090.93",""
"2011","Hungary","Million euro","Mental health hospitals","12.21",""
"2011","Hungary","Million euro","Dental practice","244.65",""
"2011","Hungary","Million euro","Pharmacies","2,674.92",""
"2011","Malta","Million euro","All providers of health care",":",""
"2011","Malta","Million euro","General hospitals",":",""
"2011","Malta","Million euro","Mental health hospitals",":",""
"2011","Malta","Million euro","Dental practice",":",""
"2011","Malta","Million euro","Pharmacies",":",""
"2011","Netherlands","Million euro","All providers of health care","66,554.70",""
"2011","Netherlands","Million euro","General hospitals","16,198.17",""
"2011","Netherlands","Million euro","Mental health hospitals","3,940.46",""
"2011","Netherlands","Million euro","Dental practice","3,015.80",""
"2011","Netherlands","Million euro","Pharmacies","5,827.10",""
"2011","Austria","Million euro","All providers of health care","31,093.91",""
"2011","Austria","Million euro","General hospitals","10,738.40",""
"2011","Austria","Million euro","Mental health hospitals",":",""
"2011","Austria","Million euro","Dental practice","1,528.90",""
"2011","Austria","Million euro","Pharmacies","3,361.74",""
"2011","Poland","Million euro","All providers of health care",":",""
"2011","Poland","Million euro","General hospitals",":",""
"2011","Poland","Million euro","Mental health hospitals",":",""
"2011","Poland","Million euro","Dental practice",":",""
"2011","Poland","Million euro","Pharmacies",":",""
