"TIME","GEO","UNIT","ICD10","AGE","RESID","SEX","Value","Flag and Footnotes"
"2011","European Union - 28 countries (2013-2020)","Number","Certain infectious and parasitic diseases (A00-B99)","Total","All deaths reported in the country","Total","73,737",""
"2011","European Union - 28 countries (2013-2020)","Number","Certain infectious and parasitic diseases (A00-B99)","Total","All deaths reported in the country","Males","36,148",""
"2011","European Union - 28 countries (2013-2020)","Number","Certain infectious and parasitic diseases (A00-B99)","Total","All deaths reported in the country","Females","37,588",""
"2011","European Union - 28 countries (2013-2020)","Number","Malignant neoplasms (C00-C97)","Total","All deaths reported in the country","Total","1,281,074",""
"2011","European Union - 28 countries (2013-2020)","Number","Malignant neoplasms (C00-C97)","Total","All deaths reported in the country","Males","717,853",""
"2011","European Union - 28 countries (2013-2020)","Number","Malignant neoplasms (C00-C97)","Total","All deaths reported in the country","Females","563,216",""
"2011","European Union - 28 countries (2013-2020)","Number","Non-malignant neoplasms (benign and uncertain)","Total","All deaths reported in the country","Total","40,188",""
"2011","European Union - 28 countries (2013-2020)","Number","Non-malignant neoplasms (benign and uncertain)","Total","All deaths reported in the country","Males","20,151",""
"2011","European Union - 28 countries (2013-2020)","Number","Non-malignant neoplasms (benign and uncertain)","Total","All deaths reported in the country","Females","20,037",""
"2011","European Union - 28 countries (2013-2020)","Number","Endocrine, nutritional and metabolic diseases (E00-E90)","Total","All deaths reported in the country","Total","140,005",""
"2011","European Union - 28 countries (2013-2020)","Number","Endocrine, nutritional and metabolic diseases (E00-E90)","Total","All deaths reported in the country","Males","60,346",""
"2011","European Union - 28 countries (2013-2020)","Number","Endocrine, nutritional and metabolic diseases (E00-E90)","Total","All deaths reported in the country","Females","79,659",""
"2011","European Union - 28 countries (2013-2020)","Number","Mental and behavioural disorders (F00-F99)","Total","All deaths reported in the country","Total","145,594",""
"2011","European Union - 28 countries (2013-2020)","Number","Mental and behavioural disorders (F00-F99)","Total","All deaths reported in the country","Males","54,466",""
"2011","European Union - 28 countries (2013-2020)","Number","Mental and behavioural disorders (F00-F99)","Total","All deaths reported in the country","Females","91,128",""
"2011","European Union - 28 countries (2013-2020)","Number","Diseases of the nervous system and the sense organs (G00-H95)","Total","All deaths reported in the country","Total","167,328",""
"2011","European Union - 28 countries (2013-2020)","Number","Diseases of the nervous system and the sense organs (G00-H95)","Total","All deaths reported in the country","Males","71,310",""
"2011","European Union - 28 countries (2013-2020)","Number","Diseases of the nervous system and the sense organs (G00-H95)","Total","All deaths reported in the country","Females","96,018",""
"2011","European Union - 28 countries (2013-2020)","Number","Diseases of the circulatory system (I00-I99)","Total","All deaths reported in the country","Total","1,863,591",""
"2011","European Union - 28 countries (2013-2020)","Number","Diseases of the circulatory system (I00-I99)","Total","All deaths reported in the country","Males","847,968",""
"2011","European Union - 28 countries (2013-2020)","Number","Diseases of the circulatory system (I00-I99)","Total","All deaths reported in the country","Females","1,015,607",""
"2011","European Union - 28 countries (2013-2020)","Number","Diseases of the respiratory system (J00-J99)","Total","All deaths reported in the country","Total","379,217",""
"2011","European Union - 28 countries (2013-2020)","Number","Diseases of the respiratory system (J00-J99)","Total","All deaths reported in the country","Males","202,852",""
"2011","European Union - 28 countries (2013-2020)","Number","Diseases of the respiratory system (J00-J99)","Total","All deaths reported in the country","Females","176,362",""
"2011","European Union - 28 countries (2013-2020)","Number","Diseases of the digestive system (K00-K93)","Total","All deaths reported in the country","Total","219,638",""
"2011","European Union - 28 countries (2013-2020)","Number","Diseases of the digestive system (K00-K93)","Total","All deaths reported in the country","Males","116,642",""
"2011","European Union - 28 countries (2013-2020)","Number","Diseases of the digestive system (K00-K93)","Total","All deaths reported in the country","Females","102,995",""
"2011","European Union - 28 countries (2013-2020)","Number","Diseases of the skin and subcutaneous tissue (L00-L99)","Total","All deaths reported in the country","Total","8,151",""
"2011","European Union - 28 countries (2013-2020)","Number","Diseases of the skin and subcutaneous tissue (L00-L99)","Total","All deaths reported in the country","Males","2,708",""
"2011","European Union - 28 countries (2013-2020)","Number","Diseases of the skin and subcutaneous tissue (L00-L99)","Total","All deaths reported in the country","Females","5,443",""
"2011","European Union - 28 countries (2013-2020)","Number","Diseases of the musculoskeletal system and connective tissue (M00-M99)","Total","All deaths reported in the country","Total","23,418",""
"2011","European Union - 28 countries (2013-2020)","Number","Diseases of the musculoskeletal system and connective tissue (M00-M99)","Total","All deaths reported in the country","Males","7,678",""
"2011","European Union - 28 countries (2013-2020)","Number","Diseases of the musculoskeletal system and connective tissue (M00-M99)","Total","All deaths reported in the country","Females","15,740",""
"2011","European Union - 28 countries (2013-2020)","Number","Diseases of the genitourinary system (N00-N99)","Total","All deaths reported in the country","Total","90,025",""
